address,aka_name,facility_type,inspection_date,inspection_id,inspection_type,latitude,license_,longitude,results,risk,violation_count,average_violations_per_inspection,times_inspected
1002 W LAKE ST ,HAKKA BAKKA,Restaurant,2019-07-19,2303636,Complaint,41.88569111784153,2626774.0,-87.6522896923192,No Entry,Risk 1 (High),0,,
5350 S PULASKI RD ,TACO BELL,Restaurant,2019-07-19,2303386,License,41.795362472352096,2652587.0,-87.7233692082325,Pass,Risk 1 (High),0,,
3701 N BROADWAY ,FINLEY MAHONY'S,Restaurant,2019-07-19,2303405,Canvass,41.94924954780584,1801271.0,-87.64825980109579,No Entry,Risk 1 (High),0,,
4546 N KEDZIE AVE ,MCDONALDS,Restaurant,2019-07-19,2303385,Canvass Re-Inspection,41.964387528635065,1679820.0,-87.70849247844104,Pass w/ Conditions,Risk 2 (Medium),3,,
5301 W BELMONT AVE ,MATI'S THE COFFEE COMPANY,Restaurant,2019-07-18,2303333,License,41.93855671746133,2671860.0,-87.75925719937484,Pass w/ Conditions,Risk 3 (Low),0,,
6850 W BELMONT AVE ,AVENUE FOOD MART,Grocery Store,2019-07-18,2303322,Canvass Re-Inspection,41.938237375991335,1246771.0,-87.79776034825164,Pass,Risk 1 (High),0,,
3257-3259 N BROADWAY ,JOY'S,Restaurant,2019-07-18,2303339,Complaint,41.94171290343118,1677471.0,-87.6443063361788,Fail,Risk 1 (High),15,,
1439 N MILWAUKEE AVE ,TACO BELL,Restaurant,2019-07-18,2303345,Canvass,41.90814745715818,2378898.0,-87.67375422497238,Out of Business,Risk 2 (Medium),0,,
1439 N MILWAUKEE AVE ,TACO BELL CANTINA,Restaurant,2019-07-18,2303341,License,41.90814745715818,2653305.0,-87.67375422497238,Pass w/ Conditions,Risk 3 (Low),0,,
4358 W 51ST ST ,EL TARASCO,Restaurant,2019-07-18,2303365,Complaint,41.80057495028339,2008409.0,-87.73317634782649,Pass w/ Conditions,Risk 1 (High),10,,
5701 N LAKE SHORE DR ,LAKEBREEZE,Restaurant,2019-07-18,2303300,License Re-Inspection,41.98599498299817,2665023.0,-87.65356907305636,Pass,Risk 1 (High),10,,
740 W GARFIELD BLVD ,55TH ST HAROLD'S & FRESH LEMONADE,Restaurant,2019-07-18,2303373,Complaint Re-Inspection,41.794425502990016,2534901.0,-87.64436324151953,Pass w/ Conditions,Risk 2 (Medium),2,,
1 N HALSTED ST ,WHOLE FOODS MARKET,Grocery Store,2019-07-18,2303338,Canvass,41.881815631642034,2320019.0,-87.64721471704077,Pass,Risk 1 (High),3,,
6601 W IRVING PARK RD ,MONTROSE FOOD MART & DELI,Grocery Store,2019-07-18,2303303,Recent Inspection,41.952721657948814,2184394.0,-87.79136221262823,Pass,Risk 1 (High),0,,
3201 N HALSTED ST ,DREW'S ON HALSTED,Restaurant,2019-07-18,2303309,Canvass Re-Inspection,41.94003766235826,53791.0,-87.64912125109215,Pass,Risk 1 (High),4,,
5701 N LAKE SHORE DR ,LAKEBREEZE,Restaurant,2019-07-18,2303304,Canvass,41.98599498299817,2615560.0,-87.65356907305636,Out of Business,Risk 2 (Medium),0,,
4551-4553 N PULASKI RD ,ALBANY PLACE BAR & GRILL,Restaurant,2019-07-18,2303335,License,41.963927828458594,2641665.0,-87.72776333434071,Fail,Risk 1 (High),19,,
3811 N WESTERN AVE ,BORINQUEN LOUNGE,Restaurant,2019-07-18,2303370,Canvass,41.95071668512338,71458.0,-87.68822442221024,Fail,Risk 1 (High),5,,
30 E ADAMS ST ,HERITAGE OUTPOST,Restaurant,2019-07-18,2303319,License,41.87961636953999,2677900.0,-87.62664224435815,Pass w/ Conditions,Risk 2 (Medium),3,,
502 E 47TH ST ,UNCLE J'S BBQ,Restaurant,2019-07-18,2303384,Complaint,41.80953717295677,2443147.0,-87.61372042275265,Fail,Risk 1 (High),15,,
1439 N MILWAUKEE AVE ,TACO BELL CANTINA,Restaurant,2019-07-18,2303325,License,41.90814745715818,2653304.0,-87.67375422497238,Pass w/ Conditions,Risk 1 (High),8,,
231 S LA SALLE ST ,NAF NAF MIDDLE EASTERN GRILL,Restaurant,2019-07-18,2303381,License,41.87854293163993,2683255.0,-87.63212057674588,Not Ready,Risk 1 (High),0,,
4410 N MILWAUKEE AVE ,FEARLESS COOKING,Restaurant,2019-07-18,2303308,License Re-Inspection,41.96088949112328,2609051.0,-87.75487389098811,Pass w/ Conditions,Risk 1 (High),8,,
3721 W FULLERTON AVE ,MARCELA'S CAFE,Restaurant,2019-07-18,2303323,Canvass,41.92445285844299,2630731.0,-87.720282550939,Pass w/ Conditions,Risk 1 (High),12,,
2118 N DAMEN AVE ,ROYAL GROCER & CO,Restaurant,2019-07-18,2303383,Canvass,41.92007574253517,2522260.0,-87.67785212775732,Fail,Risk 1 (High),18,,
1562 N WELLS ST ,FOXTROT MARKET,Restaurant,2019-07-18,2303318,License,41.91094942148233,2658608.0,-87.63485130313555,Pass,Risk 3 (Low),0,,
1500 N CLYBOURN AVE ,MARIANO'S,Grocery Store,2019-07-18,2303354,Short Form Complaint,41.908560135368425,2391457.0,-87.64645268572521,Pass w/ Conditions,Risk 1 (High),7,,
407 S DEARBORN ST ,TACO BELL CANTINA,Restaurant,2019-07-18,2303328,License,41.876699511546974,2657736.0,-87.62911066501951,Pass,Risk 3 (Low),0,,
2520 S HALSTED ST ,BIG BOSS,Restaurant,2019-07-18,2303364,Complaint,41.846381217959646,2517534.0,-87.64661301435865,Pass,Risk 1 (High),4,,
11601 W TOUHY AVE ,REGGIO'S PIZZA EXPRESS (T1 C22),Restaurant,2019-07-18,2303336,Canvass,42.008536400868735,2304183.0,-87.91442843927048,Pass w/ Conditions,Risk 2 (Medium),10,,
2149 S HALSTED ST ,SKYLARK,Restaurant,2019-07-18,2303330,Complaint,41.852749539581524,1122751.0,-87.64635124584164,No Entry,Risk 1 (High),0,,
3555 W OGDEN AVE ,FARM ON OGDEN,,2019-07-18,2303298,License,41.854570358503096,2670854.0,-87.7143608779553,Pass,Risk 1 (High),0,,
2434-2436 W MONTROSE AVE ,NICK'S PIZZA & PUB,Restaurant,2019-07-18,2303366,Canvass,41.96141269716416,2517531.0,-87.69010740967975,Out of Business,Risk 1 (High),0,,
1300 S LAKE SHORE DR ,Galileo's,Restaurant,2019-07-18,2303371,Complaint,41.865732312266495,1000894.0,-87.61966863731983,Pass w/ Conditions,Risk 1 (High),2,,
1303-1309 W WILSON AVE ,LONGACRE,Restaurant,2019-07-18,2303379,Canvass,41.965218144985,2609722.0,-87.66258555303558,No Entry,Risk 1 (High),0,,
2839 W TOUHY AVE ,THE MAIN PIZZA,,2019-07-18,2303348,License,42.01192482773641,2683305.0,-87.70123045712496,Not Ready,Risk 1 (High),0,,
1137 W ARGYLE ST ,PHO 888,Restaurant,2019-07-18,2303357,Canvass,41.97314275888301,1985536.0,-87.65927711419364,Out of Business,Risk 1 (High),0,,
4712 N KIMBALL AVE ,SUBO,Restaurant,2019-07-18,2303369,Canvass,41.96700987157824,2632186.0,-87.71346842185804,Pass w/ Conditions,Risk 1 (High),9,,
1755 W JACKSON BLVD ,CHURCH'S CHICKEN # 483,Restaurant,2019-07-18,2303347,Complaint,41.877439004621685,1273261.0,-87.6713535675008,Pass w/ Conditions,Risk 2 (Medium),7,,
5058 S HALSTED ST ,S2 EXPRESS GRILL,Restaurant,2019-07-18,2303350,License,41.80162841617951,2678193.0,-87.645492014632,Pass w/ Conditions,Risk 1 (High),6,,
5721-5723 N CLARK ST ,STONE FOX,Restaurant,2019-07-18,2303299,Canvass,41.98608620480597,2579274.0,-87.66922595429558,Pass w/ Conditions,Risk 1 (High),7,,
407 S DEARBORN ST ,TACO BELL CANTINA,Restaurant,2019-07-18,2303324,License,41.876699511546974,2657735.0,-87.62911066501951,Pass,Risk 1 (High),0,,
909 W IRVING PARK RD ,CORONAS CAFE,Restaurant,2019-07-18,2303315,Canvass Re-Inspection,41.954406290026775,2475823.0,-87.65254275177027,Pass w/ Conditions,Risk 1 (High),4,,
1137 W 63RD ST ,NYFC SEAFOOD & GRILL INC,Restaurant,2019-07-18,2303311,License,41.77951325699609,2671384.0,-87.6535132947463,Pass,Risk 1 (High),6,,
806-808 N STATE ST ,FRIENDS SUSHI ON STATE,Restaurant,2019-07-18,2303376,Canvass Re-Inspection,41.89692401629927,2506210.0,-87.62835251591568,Pass w/ Conditions,Risk 1 (High),5,,
1343 W 18th ST ,Y Y HOT POT INC.,Restaurant,2019-07-18,2303310,License,41.85777810023129,2671361.0,-87.6605884280591,Pass w/ Conditions,Risk 1 (High),5,,
11601 W TOUHY AVE ,GARRETT POPCORN SHOPS (T1 B8),O'Hare Kiosk,2019-07-18,2303306,Canvass Re-Inspection,42.008536400868735,1898214.0,-87.91442843927048,Pass w/ Conditions,Risk 2 (Medium),1,,
4714 N SHERIDAN RD ,"A B C & ME DAYCARE CENTER, INC.",Children's Services Facility,2019-07-18,2303334,License,41.96769906340955,2368513.0,-87.65495069014486,Pass w/ Conditions,Risk 1 (High),2,,
4047 W NORTH AVE ,QUEBRADITA,Restaurant,2019-07-18,2303317,Canvass,41.90974891018372,2476528.0,-87.72833212113581,Pass w/ Conditions,Risk 1 (High),6,,
2109 W CHICAGO AVE ,THE ROOKERY,Restaurant,2019-07-18,2303374,Complaint,41.89575174189801,1869443.0,-87.67992372918344,Fail,Risk 1 (High),15,,
1 N HALSTED ST ,WHOLE FOODS,Grocery Store,2019-07-18,2303340,Canvass,41.881815631642034,2385108.0,-87.64721471704077,Pass,Risk 1 (High),0,,
1562 N WELLS ST ,FOXTROT MARKET,Restaurant,2019-07-18,2303313,License,41.91094942148233,2658606.0,-87.63485130313555,Pass,Risk 2 (Medium),1,,
1132 N MILWAUKEE AVE ,KIN SUSHI & THAI CUISINE,Restaurant,2019-07-18,2303380,Canvass,41.90222673909479,2511774.0,-87.66494546765999,Pass w/ Conditions,Risk 1 (High),3,,
1959 W HOWARD ST ,POPEYES,Restaurant,2019-07-18,2303362,Complaint Re-Inspection,42.0193331123976,2594606.0,-87.68002153080553,Pass w/ Conditions,Risk 1 (High),9,,
4343 N CLARENDON AVE ,SEEDS OF JOY DAYCARE AND FITNESS CENTER,Daycare Above and Under 2 Years,2019-07-18,2303331,License Re-Inspection,41.96166713685557,2299098.0,-87.64976056950601,Pass,Risk 1 (High),0,,
2100 W ROSCOE ST ,LUCY'S CAFE,Restaurant,2019-07-18,2303316,Canvass,41.94329621074058,2476471.0,-87.68094111525112,Pass w/ Conditions,Risk 1 (High),3,,
737 N MICHIGAN AVE ,FOODA,Pop-Up Establishment Host-Tier II,2019-07-18,2303392,License,41.89603605011911,2664787.0,-87.62413103273497,Not Ready,Risk 2 (Medium),0,,
520 N MICHIGAN AVE ,FOODA,Pop-Up Establishment Host-Tier II,2019-07-18,2303358,License,41.89168851736832,2664795.0,-87.6243071781258,Pass,Risk 2 (Medium),8,,
1 N HALSTED ST ,REAL GOOD JUICE CO.,Restaurant,2019-07-18,2303346,Canvass,41.881815631642034,2443125.0,-87.64721471704077,Pass w/ Conditions,Risk 2 (Medium),2,,
1562 N WELLS ST ,FOXTROT MARKET,Restaurant,2019-07-18,2303321,License,41.91094942148233,2658609.0,-87.63485130313555,Pass,Risk 3 (Low),0,,
4551-4553 N PULASKI RD ,ALBANY PLACE BAR & GRILL,Restaurant,2019-07-18,2303342,License,41.963927828458594,2641666.0,-87.72776333434071,Fail,Risk 1 (High),0,,
10244 S LONGWOOD DR ,THE BEVERLY CASTLE ACADEMY OF,1023-CHILDREN'S SERVICES FACILITY,2019-07-18,2303307,License,41.706709330071476,2215633.0,-87.67081386117728,Fail,Risk 1 (High),7,,
11601 W TOUHY AVE ,HUDSON NEW T1 C 22,Grocery Store,2019-07-18,2303372,Canvass,42.008536400868735,2385216.0,-87.91442843927048,Pass w/ Conditions,Risk 3 (Low),4,,
22 E CHICAGO AVE ,TACO BELL,Restaurant,2019-07-18,2303375,License Re-Inspection,41.89679861905508,2678274.0,-87.62726628946932,Pass,Risk 1 (High),0,,
1730 W FULLERTON AVE ,PANDA EXPRESS,Restaurant,2019-07-18,2303378,Complaint,41.92521232759425,2084433.0,-87.67192542513618,Pass,Risk 1 (High),1,,
2931 W TOUHY AVE ,MAIN PIZZA CHALAVI,Restaurant,2019-07-18,2303363,Canvass,42.01187856476175,2021764.0,-87.70337002780445,Pass w/ Conditions,Risk 1 (High),3,,
3224 W FOSTER AVE ,PAPA PHILLY AND FOOD,Restaurant,2019-07-18,2303360,Canvass,41.97584622052377,2164105.0,-87.70968162978451,Pass w/ Conditions,Risk 1 (High),18,,
1137 W ARGYLE ST ,PHO 888,Restaurant,2019-07-18,2303352,Canvass Re-Inspection,41.97314275888301,1985536.0,-87.65927711419364,Pass,Risk 1 (High),0,,
2420 W FULLERTON AVE ,COCINA DE GALARZA,Restaurant,2019-07-18,2303353,Complaint Re-Inspection,41.92500341997868,1196442.0,-87.68849231565949,Pass,Risk 1 (High),0,,
1137 W ARGYLE ST ,PHO 888,Restaurant,2019-07-18,2303356,License,41.97314275888301,2677617.0,-87.65927711419364,Pass,Risk 1 (High),0,,
3032 S HALSTED ST ,WINGSTOP,Restaurant,2019-07-18,2303349,Canvass,41.83886824139177,2535598.0,-87.64644448458358,Pass w/ Conditions,Risk 1 (High),3,,
625 S ASHLAND AVE ,MARRIOTT CHICAGO MEDICAL DISTRICT,Restaurant,2019-07-18,2303329,Canvass,41.87343456580039,2363903.0,-87.66643368144297,Fail,Risk 1 (High),11,,
5721-5723 N CLARK ST ,STONE FOX,Restaurant,2019-07-18,2303314,License,41.98608620480597,2595642.0,-87.66922595429558,Pass w/ Conditions,Risk 1 (High),0,,
1562 N WELLS ST ,LE PAIN QUOTIDIEN,Restaurant,2019-07-18,2303302,Canvass,41.91094942148233,2398985.0,-87.63485130313555,Out of Business,Risk 1 (High),0,,
5701 N LAKE SHORE DR ,LAKEBREEZE,Restaurant,2019-07-18,2303301,License Re-Inspection,41.98599498299817,2665024.0,-87.65356907305636,Pass,Risk 3 (Low),0,,
2355 W ADDISON ST ,Popeye's,Restaurant,2019-07-17,2303282,Canvass Re-Inspection,41.946623228221306,2555774.0,-87.68802683245613,Pass,Risk 1 (High),4,,
6740 N OLIPHANT AVE ,MONTESSORI LEARNING CENTER OF EDISON PARK,,2019-07-17,2303247,Canvass,42.00373893603761,2215980.0,-87.81525050413609,Pass w/ Conditions,Risk 1 (High),5,,
1535 N WELLS ST ,WOODIE'S FLAT,Restaurant,2019-07-17,2303272,Canvass,41.91018952506366,2328308.0,-87.6345331666366,Pass w/ Conditions,Risk 1 (High),2,,
1060 W ADDISON ST ,SHEFFIELD CORNER,Restaurant,2019-07-17,2303337,Canvass,41.94731748901496,1574000.0,-87.65641794764645,Pass,Risk 2 (Medium),0,,
2257 W GRAND AVE ,"HOUND DOG, BURGER & TERIYAKI  RESTAURANT",Restaurant,2019-07-17,2303269,Canvass,41.89059496364399,1649568.0,-87.68404796959847,Pass w/ Conditions,Risk 1 (High),3,,
5050 N CICERO AVE ,SUBWAY SANDWICHES & SALADS,Restaurant,2019-07-17,2303261,Canvass,41.97290824123571,37621.0,-87.74806177870752,Pass w/ Conditions,Risk 1 (High),8,,
4356 N LEAVITT ST ,MONTY GAELS TAVERN & GRILL,Restaurant,2019-07-17,2303263,Canvass,41.96123477031228,1197306.0,-87.68397223026997,Fail,Risk 1 (High),2,,
5235 N KEDZIE AVE ,DOMINO'S,Restaurant,2019-07-17,2303254,License,41.976716699278995,2678196.0,-87.70855951918773,Pass w/ Conditions,Risk 2 (Medium),4,,
3401 W ROOSEVELT RD ,WALGREENS #03395,Grocery Store,2019-07-17,2303296,Complaint,41.866237768795344,18698.0,-87.7106621287964,Pass,Risk 3 (Low),2,,
222 W RANDOLPH ST ,FRANCOIS FRANKIE,Restaurant,2019-07-17,2303292,License Re-Inspection,41.88457525192725,2647299.0,-87.63458188985176,Pass,Risk 3 (Low),0,,
2444 N ELSTON AVE ,MIDTOWN ATHLETIC CLUB AND HOTEL,Restaurant,2019-07-17,2303268,Complaint Re-Inspection,41.92584528784153,2535330.0,-87.67883572432687,Pass,Risk 1 (High),0,,
2609-2611 S HALSTED ST ,TAIPEI CAFE,Restaurant,2019-07-17,2303276,Complaint,41.84504471424089,2477101.0,-87.64629711220533,Fail,Risk 1 (High),5,,
6600 S KEDZIE AVE ,LA FOGATA,Restaurant,2019-07-17,2303281,Canvass Re-Inspection,41.773453388419924,2219945.0,-87.70315683459593,Fail,Risk 1 (High),11,,
5100-5102 S CALIFORNIA AVE ,LA QUEBRADA,Restaurant,2019-07-17,2303249,Canvass,41.80089563627175,1243021.0,-87.69414412173809,Fail,Risk 1 (High),4,,
1060 W ADDISON ST ,WRIGLEY FIELD STADIUM,STADIUM,2019-07-17,2303344,Canvass,41.94731748901496,1574002.0,-87.65641794764645,Pass w/ Conditions,Risk 2 (Medium),6,,
402 S KOSTNER AVE ,"K TOWN FOOD I, INC",Grocery Store,2019-07-17,2303291,Canvass,41.87502775205632,2064310.0,-87.73542837787184,Out of Business,Risk 1 (High),0,,
326 W 64TH ST ,ST BERNARD HOSPITAL & HEALTH CENTER,Hospital,2019-07-17,2303252,Canvass Re-Inspection,41.77821515610851,2204276.0,-87.63346442603714,Pass,Risk 1 (High),0,,
5758 S PULASKI RD ,LOS MANGOS NEVERIA Y FRUTERIA #3,Restaurant,2019-07-17,2303275,Canvass Re-Inspection,41.78780006140453,2184104.0,-87.72315662236635,Pass,Risk 1 (High),1,,
7148 N HARLEM AVE ,TAQUERIA LOS AZARES,Restaurant,2019-07-17,2303262,Canvass,42.011357386595954,2179179.0,-87.80678841267961,Pass w/ Conditions,Risk 1 (High),16,,
2959 N MILWAUKEE AVE ,,,2019-07-17,2303270,License,41.935106914487726,2677835.0,-87.7170721521948,Not Ready,All,0,,
222 W RANDOLPH ST ,FRANCOIS FRANKIE,Restaurant,2019-07-17,2303293,License Re-Inspection,41.88457525192725,2658249.0,-87.63458188985176,Pass,Risk 3 (Low),0,,
1236 E 53RD ST ,LEONA'S PIZZERIA,Restaurant,2019-07-17,2303297,Complaint Re-Inspection,41.7995820117793,2616872.0,-87.59510894342812,Pass,Risk 1 (High),4,,
1060 W ADDISON ST ,WRIGLEY FIELD COMMISSARY / W CLUB,Catering,2019-07-17,2303320,Canvass,41.94731748901496,2511087.0,-87.65641794764645,Pass w/ Conditions,Risk 1 (High),2,,
8247-8249 S COTTAGE GROVE AVE ,DAT BARBECUE,Restaurant,2019-07-17,2303284,Complaint Re-Inspection,41.744403764576134,2185442.0,-87.6048992274111,Pass,Risk 1 (High),3,,
2640 W 51ST ST ,WALDO COONEY'S PIZZA,Restaurant,2019-07-17,2303271,Complaint,41.801153598485776,8600.0,-87.6907407136006,Fail,Risk 1 (High),5,,
1700 W GRAND AVE ,UNCLE MIKE'S PLACE,Restaurant,2019-07-17,2303260,Canvass,41.89105285701879,39365.0,-87.66962353874338,Pass w/ Conditions,Risk 1 (High),8,,
1812 N MILWAUKEE AVE ,THE STOPALONG,Restaurant,2019-07-17,2303277,Canvass,41.914261446310334,2452080.0,-87.68368604555803,Pass w/ Conditions,Risk 1 (High),11,,
1060 W ADDISON ST ,DRAFT KINGS,Restaurant,2019-07-17,2303359,Canvass,41.94731748901496,2078712.0,-87.65641794764645,Not Ready,Risk 2 (Medium),0,,
4312 W FULLERTON AVE ,TACOTLAN,Restaurant,2019-07-17,2303294,Canvass,41.924499560814866,2560167.0,-87.73465292886841,Fail,Risk 1 (High),9,,
3834 W 47TH ST ,LAS ASADAS MEXICAN GRILL,Restaurant,2019-07-17,2303290,Canvass,41.80802515275297,2583309.0,-87.72003743037237,Pass w/ Conditions,Risk 1 (High),4,,
2801 W CERMAK RD ,COCULA RESTAURANT,Restaurant,2019-07-17,2303253,Recent Inspection,41.85179054443326,8741.0,-87.69562561914283,Pass w/ Conditions,Risk 1 (High),8,,
4024 N LINCOLN AVE ,VIA LIMA RESTAURANT,Restaurant,2019-07-17,2303280,Canvass,41.95492303714853,2368584.0,-87.67945708741665,Out of Business,Risk 1 (High),0,,
4256 W FULLERTON AVE ,EL TACONAZO JR.,Restaurant,2019-07-17,2303259,Complaint,41.92450769084945,2354772.0,-87.73398032565292,Fail,Risk 1 (High),15,,
555 W MONROE ST ,HANNAH'S BRETZEL,Restaurant,2019-07-17,2303255,Complaint,41.880447908791545,2240730.0,-87.64183897534404,Fail,Risk 1 (High),7,,
2333 W NORTH AVE ,BON BON SANDWICHES,Restaurant,2019-07-17,2303295,Canvass Re-Inspection,41.910227843255896,1963679.0,-87.68605644458866,Pass w/ Conditions,Risk 1 (High),10,,
1060 W ADDISON ST ,FANNIE MAY SUITE/CREE LIGHTING CLUB/SUITE PANTRIES,Restaurant,2019-07-17,2303343,Canvass,41.94731748901496,1120541.0,-87.65641794764645,Pass,Risk 2 (Medium),0,,
5140 W MADISON ST ,SUNNY SUB,Restaurant,2019-07-17,2303274,Complaint,41.88049227632794,2314109.0,-87.75427253120432,Pass,Risk 1 (High),5,,
1060 W ADDISON ST ,WRIGLEY FIELD STADIUM,STADIUM,2019-07-17,2303355,Canvass,41.94731748901496,1574001.0,-87.65641794764645,Pass w/ Conditions,Risk 1 (High),5,,
150 N RIVERSIDE PLZ ,FOODA 150 N RIVERSIDE,Pop-Up Food Establishment User-Tier III,2019-07-17,2303248,License,41.88508945576888,2664859.0,-87.63840559417187,Not Ready,Risk 2 (Medium),0,,
3144 W MARQUETTE RD ,COCO'S PLACE AND PIZZA RESTAURANT,Restaurant,2019-07-17,2303283,Canvass Re-Inspection,41.771793603366426,2600682.0,-87.70230227676348,Fail,Risk 1 (High),17,,
326 W 64TH ST ,ST BERNARD HOSPITAL & HEALTH CENTER,Hospital,2019-07-17,2303251,Canvass Re-Inspection,41.77821515610851,15790.0,-87.63346442603714,Pass,Risk 1 (High),0,,
3241 W PETERSON AVE ,MCDONALDS,Restaurant,2019-07-17,2303265,Canvass,41.990254848131904,2349545.0,-87.71076324353396,Pass,Risk 2 (Medium),7,,
8616 S KEDZIE AVE ,SKY CHOP SUEY INC,Restaurant,2019-07-17,2303286,Complaint,41.7364142354004,25159.0,-87.70219239358124,Pass,Risk 1 (High),6,,
10 S WACKER DR ,FOODA - 10-30 S Wacker,Pop-Up Food Establishment User-Tier III,2019-07-17,2303250,License,41.881722456809335,2664796.0,-87.63716361820066,Not Ready,Risk 2 (Medium),0,,
222 W RANDOLPH ST ,FRANCOIS FRANKIE,Restaurant,2019-07-17,2303288,License Re-Inspection,41.88457525192725,2647298.0,-87.63458188985176,Pass,Risk 1 (High),1,,
283 N PULASKI RD ,CARIBBEAN JERK PALACE II,Restaurant,2019-07-17,2303287,Canvass,41.88536969377596,2542419.0,-87.7256562397167,No Entry,Risk 1 (High),0,,
4018 N WESTERN AVE ,STICKY RICE,Restaurant,2019-07-17,2303285,Canvass Re-Inspection,41.954631107192654,1515745.0,-87.68863080861864,Pass,Risk 1 (High),1,,
1524 W TAYLOR ST ,7-ELEVEN,Grocery Store,2019-07-17,2303258,Canvass,41.86939363940578,1915777.0,-87.66515238810635,Fail,Risk 1 (High),8,,
4734 N CUMBERLAND AVE ,JEWEL FOOD STORE #3477,Grocery Store,2019-07-16,2301174,Canvass Re-Inspection,41.96601140133553,1372.0,-87.8368311691384,Pass,Risk 1 (High),2,,
2011 N GRIFFIN BLVD ,ICE CREAM ON WHEELS,Mobile Food Dispenser,2019-07-16,2301197,License,,2678115.0,,Fail,Risk 3 (Low),2,,
2301 W ROSCOE ST ,LE SUD,Restaurant,2019-07-16,2303218,Canvass,41.94301517823736,2589927.0,-87.68578694293062,Fail,Risk 1 (High),8,,
141 W ERIE ST ,THE LAUREL ROOM/ ROOF TOP,Restaurant,2019-07-16,2303227,License,41.8939002561912,2652742.0,-87.63273168715278,Pass,Risk 1 (High),0,,
2501 W LAWRENCE AVE ,LITTLE CAESAR'S PIZZA,Restaurant,2019-07-16,2303238,Canvass,41.96848268957195,2218.0,-87.6914089058082,Pass w/ Conditions,Risk 2 (Medium),8,,
3022-3024 N MILWAUKEE AVE ,MILWAUKEE DAYCARE,Children's Services Facility,2019-07-16,2301169,Canvass,41.93605703419472,2245828.0,-87.71909413329809,Pass w/ Conditions,Risk 1 (High),2,,
70-104 E OAK ST ,FIG & OLIVE,Restaurant,2019-07-16,2301209,Complaint,41.90089862165083,2309205.0,-87.62579853779921,Fail,Risk 1 (High),4,,
806-808 N STATE ST ,FRIENDS SUSHI ON STATE,Restaurant,2019-07-16,2303237,Canvass,41.89692401629927,2506210.0,-87.62835251591568,Fail,Risk 1 (High),8,,
5-7 S CICERO AVE ,HAPPY FISH & CHICKEN,Restaurant,2019-07-16,2303246,Canvass,41.880312457562816,2423223.0,-87.74512375356417,Pass w/ Conditions,Risk 1 (High),9,,
1917 W FULLERTON AVE ,SUBWAY,Restaurant,2019-07-16,2301201,Canvass,41.92493394586757,75380.0,-87.67652255682225,Pass w/ Conditions,Risk 1 (High),2,,
11147 S MICHIGAN AVE ,"WARE RANCH STEAK HOUSE, INC",Restaurant,2019-07-16,2301152,Complaint Re-Inspection,41.69113261954646,2631290.0,-87.6208849886538,Pass,Risk 1 (High),0,,
7634 S ASHLAND AVE ,"HIGHLAND DAY CARE, INC",Daycare (2 - 6 Years),2019-07-16,2301168,Canvass,41.75476089027481,2215509.0,-87.66369155941385,Out of Business,Risk 1 (High),0,,
5351-5353 N BROADWAY AVE ,DYNAMIC UNITED MARKET,Grocery Store,2019-07-16,2301173,Canvass,41.97965510467985,2574761.0,-87.65981181140619,Out of Business,Risk 2 (Medium),0,,
2935-2937 W 59TH ST ,RICHMOND FOOD & LIQUORS,Grocery Store,2019-07-16,2301179,License,41.78623526938255,2621537.0,-87.69739620724201,Pass w/ Conditions,Risk 3 (Low),2,,
2470 N LINCOLN AVE ,"BLUE MOUSE HOLDINGS, LLC",Restaurant,2019-07-16,2301177,License,41.92687231925592,2623009.0,-87.650968355266,Pass w/ Conditions,Risk 3 (Low),0,,
2618-2620 W 59TH ST ,TAQUERIA MARAVATIO,Restaurant,2019-07-16,2301206,Complaint,41.786582933069056,2589996.0,-87.68960546577377,Pass w/ Conditions,Risk 1 (High),5,,
22 E CHICAGO AVE ,TACO BELL,Restaurant,2019-07-16,2301161,License,41.89679861905508,2678274.0,-87.62726628946932,Fail,Risk 1 (High),3,,
1303 S MICHIGAN AVE ,SUMI,Restaurant,2019-07-16,2301167,Canvass,41.86564877988013,2657826.0,-87.62396517625166,Pass w/ Conditions,Risk 1 (High),9,,
2935-2937 W 59TH ST ,RICHMOND FOOD & LIQUORS,Grocery Store,2019-07-16,2301184,License,41.78623526938255,2621536.0,-87.69739620724201,Pass w/ Conditions,Risk 3 (Low),2,,
4739 N DAMEN AVE ,BUDACKIS DRIVE-IN HOT DOGS,Restaurant,2019-07-16,2301182,Canvass,41.96807497181902,1495075.0,-87.67901960462584,Pass w/ Conditions,Risk 1 (High),12,,
837 W FULTON MARKET ,THE PUBLICAN,Restaurant,2019-07-16,2301164,Canvass,41.88666984658428,1821706.0,-87.64890500808553,Fail,Risk 1 (High),5,,
853 N LARRABEE ST ,DOLLOP COFFEE BAR,Restaurant,2019-07-16,2301186,Canvass,41.89803544757322,2616615.0,-87.64284538924244,Pass w/ Conditions,Risk 2 (Medium),5,,
6001 W GRAND AVE ,TOMMY'S ON  GRAND,Restaurant,2019-07-16,2301192,Canvass,41.920463425192736,2432878.0,-87.77570033698544,Out of Business,Risk 1 (High),0,,
3542 N HALSTED ST ,DIVA RESTAURANT,Restaurant,2019-07-16,2303242,Short Form Complaint,41.94674200802528,2060545.0,-87.6496147460993,No Entry,Risk 1 (High),0,,
